Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
老	老	125	0	6	21	2	0.0017	1	
小	小	42	0	3	21	2	0.0017	1	
道	辵	162	9	13	21	2	0.0017	2	
新	斤	69	9	13	21	2	0.0017	1	
急	心	61	5	9	21	2	0.0017	1	
净	冫	15	6	8	21	2	0.0017	1	
意	心	61	9	13	21	2	0.0017	1	
折	手	64	4	7	21	2	0.0017	3	
情	心	61	8	11	21	2	0.0017	1	
吹	口	30	4	7	21	2	0.0017	2	
静	靑	174	6	14	21	2	0.0017	1	
弹	弓	57	8	11	21	2	0.0017	2	
同	口	30	3	6	21	2	0.0017	2	
至	至	133	0	6	21	2	0.0017	2	
大	大	37	0	3	21	2	0.0017	3	
西	襾	146	0	6	21	2	0.0017	1	
节	艸	140	2	8	21	2	0.0017	2	
睡	目	109	8	13	21	2	0.0017	1	
秋	禾	115	4	9	21	2	0.0017	1	
乎	丿	4	4	5	21	2	0.0017	2	
半	十	24	3	5	21	2	0.0017	1	
记	言	149	3	5	21	2	0.0017	1	
边	辵	162	2	6	21	2	0.0017	2	
说	言	149	7	9	21	2	0.0017	4	
二	二	7	0	2	21	2	0.0017	1	
由	田	102	0	5	21	2	0.0017	2	
望	月	74	7	11	21	2	0.0017	1	
红	糸	120	3	6	21	2	0.0017	3	
样	木	75	6	10	21	2	0.0017	3	
光	儿	10	4	6	21	2	0.0017	1	
皮	皮	107	0	5	21	2	0.0017	1	
远	辵	162	4	8	21	2	0.0017	2	
离	禸	114	6	11	21	2	0.0017	3	
轻	車	159	5	9	21	2	0.0017	1	
放	攴	66	4	8	21	2	0.0017	2	
气	气	84	0	4	21	2	0.0017	1	
插	手	64	9	12	21	2	0.0017	1	
都	邑	163	9	12	21	2	0.0017	2	
汗	水	85	3	6	21	2	0.0017	3	
黑	黑	203	0	12	21	2	0.0017	2	
右	口	30	2	5	21	2	0.0017	1	
只	口	30	2	5	21	2	0.0017	2	
慢	心	61	11	14	21	2	0.0017	1	
晚	日	72	7	11	21	2	0.0017	1	
马	馬	187	0	3	21	2	0.0017	1	
听	口	30	4	7	21	2	0.0017	3	
处	夂	34	2	5	21	2	0.0017	2	
吓	口	30	3	6	21	2	0.0017	2	
响	口	30	6	9	21	2	0.0017	1	
过	辵	162	3	7	21	2	0.0017	2	
直	目	109	3	8	21	2	0.0017	1	
吧	口	30	4	7	21	2	0.0017	2	
糊	米	119	9	15	22	1	0.0008	3	
随	阜	170	10	12	22	1	0.0008	1	
件	人	9	4	6	22	1	0.0008	1	
即	卩	26	5	7	22	1	0.0008	1	
暂	日	72	8	12	22	1	0.0008	1	
兴	八	12	4	6	22	1	0.0008	2	
段	殳	79	5	9	22	1	0.0008	1	
教	攴	66	7	11	22	1	0.0008	2	
杂	木	75	2	6	22	1	0.0008	1	
钮	金	167	4	9	22	1	0.0008	1	
林	木	75	4	8	22	1	0.0008	1	
女	女	38	0	3	22	1	0.0008	2	
珠	玉	96	6	10	22	1	0.0008	1	
鬼	鬼	194	0	10	22	1	0.0008	1	
站	立	117	5	10	22	1	0.0008	2	
刚	刀	18	4	6	22	1	0.0008	1	
寡	宀	40	11	14	22	1	0.0008	1	
裹	衣	145	8	14	22	1	0.0008	1	
主	丶	3	4	5	22	1	0.0008	1	
簧	竹	118	12	18	22	1	0.0008	1	
欢	欠	76	2	6	22	1	0.0008	1	
辈	非	175	4	12	22	1	0.0008	1	
双	又	29	2	4	22	1	0.0008	1	
电	曰	73	1	5	22	1	0.0008	1	
飞	乙	5	2	3	22	1	0.0008	1	
张	弓	57	4	7	22	1	0.0008	2	
与	一	1	3	4	22	1	0.0008	3	
莫	艸	140	7	13	22	1	0.0008	2	
添	水	85	8	11	22	1	0.0008	2	
纸	糸	120	4	7	22	1	0.0008	1	
计	言	149	2	4	22	1	0.0008	1	
顾	頁	181	4	10	22	1	0.0008	1	
仔	人	9	3	5	22	1	0.0008	2	
敢	攴	66	8	12	22	1	0.0008	1	
跟	足	157	6	13	22	1	0.0008	1	
摔	手	64	11	14	22	1	0.0008	1	
简	竹	118	7	13	22	1	0.0008	1	
槐	木	75	10	14	22	1	0.0008	1	
正	止	77	1	5	22	1	0.0008	2	
劲	力	19	5	7	22	1	0.0008	2	
腰	肉	130	9	13	22	1	0.0008	1	
间	門	169	4	7	22	1	0.0008	2	
秫	禾	115	5	10	22	1	0.0008	2	
腿	肉	130	10	14	22	1	0.0008	1	
叨	口	30	2	5	22	1	0.0008	2	
非	非	175	0	8	22	1	0.0008	2	
城	土	32	7	9	22	1	0.0008	1	
感	心	61	9	13	22	1	0.0008	1	
永	水	85	1	5	22	1	0.0008	1	
从	人	9	2	4	22	1	0.0008	4	
院	阜	170	7	10	22	1	0.0008	1	
阶	阜	170	4	7	22	1	0.0008	1	
落	艸	140	9	15	22	1	0.0008	4	
平	干	51	2	5	22	1	0.0008	1	
止	止	77	0	4	22	1	0.0008	1	
阵	阜	170	4	7	22	1	0.0008	1	
满	水	85	10	13	22	1	0.0008	2	
爬	爪	87	4	8	22	1	0.0008	1	
作	人	9	5	7	22	1	0.0008	3	
神	示	113	5	10	22	1	0.0008	2	
穿	穴	116	4	9	22	1	0.0008	1	
难	又	29	8	10	22	1	0.0008	3	
茫	艸	140	6	12	22	1	0.0008	2	
阻	阜	170	5	8	22	1	0.0008	2	
肘	肉	130	3	7	22	1	0.0008	1	
扣	手	64	3	6	22	1	0.0008	1	
喳	口	30	9	12	22	1	0.0008	2	
房	戶	63	4	8	22	1	0.0008	2	
细	糸	120	5	8	22	1	0.0008	1	
音	音	180	0	9	22	1	0.0008	2	
几	几	16	0	2	22	1	0.0008	2	
剩	刀	18	10	12	22	1	0.0008	1	
洞	水	85	6	9	22	1	0.0008	2	
调	言	149	8	10	22	1	0.0008	4	
使	人	9	6	8	22	1	0.0008	2	
妇	女	38	3	6	22	1	0.0008	1	
身	身	158	0	7	22	1	0.0008	3	
扯	手	64	4	7	22	1	0.0008	1	
爽	爻	89	7	11	22	1	0.0008	2	
于	二	7	1	3	22	1	0.0008	2	
少	小	42	1	4	22	1	0.0008	2	
镇	金	167	10	15	22	1	0.0008	1	
瞧	目	109	12	17	22	1	0.0008	1	
流	水	85	6	9	22	1	0.0008	1	
倒	人	9	8	10	22	1	0.0008	2	
闷	門	169	4	7	22	1	0.0008	2	
及	又	29	2	4	22	1	0.0008	1	
往	彳	60	5	8	22	1	0.0008	2	
钉	金	167	2	7	22	1	0.0008	2	
们	人	9	3	5	22	1	0.0008	1	
缠	糸	120	10	13	22	1	0.0008	1	
错	金	167	8	13	22	1	0.0008	2	
露	雨	173	12	20	22	1	0.0008	2	
碰	石	112	8	14	22	1	0.0008	1	
敞	攴	66	8	12	22	1	0.0008	1	
方	方	70	0	4	22	1	0.0008	4	
根	木	75	6	10	22	1	0.0008	1	
憋	心	61	12	16	22	1	0.0008	1	
名	口	30	3	6	22	1	0.0008	1	
崭	山	46	8	11	22	1	0.0008	1	
拿	手	64	6	10	22	1	0.0008	1	
哟	口	30	6	9	22	1	0.0008	1	
连	辵	162	4	8	22	1	0.0008	1	
呀	口	30	4	7	22	1	0.0008	2	
膝	肉	130	11	15	22	1	0.0008	1	
重	里	166	2	9	22	1	0.0008	3	
现	玉	96	4	8	22	1	0.0008	1	
跳	足	157	6	13	22	1	0.0008	4	
知	矢	111	3	8	22	1	0.0008	2	
其	八	12	6	8	22	1	0.0008	2	
绕	糸	120	6	9	22	1	0.0008	2	
点	火	86	5	9	22	1	0.0008	1	
书	丨	2	3	4	22	1	0.0008	1	
掺	手	64	8	11	22	1	0.0008	4	
解	角	148	6	13	22	1	0.0008	3	
岁	山	46	3	6	22	1	0.0008	1	
漆	水	85	11	14	22	1	0.0008	1	
渺	水	85	9	12	22	1	0.0008	1	
补	衣	145	2	8	22	1	0.0008	1	
换	手	64	7	10	22	1	0.0008	1	
截	戈	62	10	14	22	1	0.0008	1	
溜	水	85	10	13	22	1	0.0008	3	
蛋	虫	142	5	11	22	1	0.0008	1	
喜	口	30	9	12	22	1	0.0008	1	
既	无	71	5	9	22	1	0.0008	2	
怕	心	61	5	8	22	1	0.0008	1	
收	攴	66	2	6	22	1	0.0008	1	
概	木	75	9	13	22	1	0.0008	3	
虑	心	61	6	10	22	1	0.0008	1	
墙	土	32	11	14	22	1	0.0008	1	
藏	艸	140	14	20	22	1	0.0008	3	
必	心	61	1	4	22	1	0.0008	1	
很	彳	60	6	9	22	1	0.0008	1	
秃	禾	115	2	7	22	1	0.0008	1	
秆	禾	115	3	8	22	1	0.0008	1	
外	夕	36	2	5	22	1	0.0008	1	
忙	心	61	3	7	22	1	0.0008	1	
显	日	72	5	9	22	1	0.0008	1	
许	言	149	4	6	22	1	0.0008	2	
今	人	9	2	4	22	1	0.0008	1	
转	車	159	4	8	22	1	0.0008	2	
衣	衣	145	0	6	22	1	0.0008	2	
伤	人	9	4	6	22	1	0.0008	1	
佛	人	9	5	7	22	1	0.0008	2	
立	立	117	0	5	22	1	0.0008	2	
住	人	9	5	7	22	1	0.0008	1	
定	宀	40	5	8	22	1	0.0008	1	
妙	女	38	4	7	22	1	0.0008	1	
利	刀	18	5	7	22	1	0.0008	1	
胸	肉	130	6	10	22	1	0.0008	1	
堆	土	32	8	11	22	1	0.0008	1	
原	厂	27	8	10	22	1	0.0008	2	
秸	禾	115	6	11	22	1	0.0008	2	
跌	足	157	5	12	22	1	0.0008	3	
栽	木	75	6	10	22	1	0.0008	2	
便	人	9	7	9	22	1	0.0008	2	
切	刀	18	2	4	22	1	0.0008	3	
日	日	72	0	4	22	1	0.0008	2	
月	月	74	0	4	22	1	0.0008	1	
